# #3543, 1/2/2003 15:30:00 ~ 4/18/2017 15:30:00
# Open, High, Low, Volume, Close
310500,315000,303000,815768,315000
312000,317000,308500,409736,309000
305000,307000,297500,713899,298500
302500,305500,299000,473874,300000
299000,302000,292000,476185,295000
290000,292000,285000,715217,287500
284500,292000,283000,544833,285000
293500,301500,291000,624782,300500
302000,306500,299500,640825,305000
305000,310000,300500,822432,307000
310500,316000,310500,718481,313000
317000,320000,310000,983272,319500
316000,318500,313000,457465,317000
325000,329500,323000,732201,327000
327000,327000,314500,587863,316000
313000,315000,308500,489339,309500
312000,317000,307500,570203,315000
313000,315500,307000,628116,307000
302500,304500,299000,621857,301000
296000,307000,295500,470063,306500
304500,308500,302500,409584,304000
301500,308500,298500,493025,300000
304000,312500,303500,428916,312000
312000,318500,308500,424448,317000
315000,318000,311500,256878,314000
324000,325500,318500,690768,321000
321000,327000,318000,682639,324500
324500,325500,320000,463912,324000
329000,335000,329000,664300,334000
327500,330000,323500,535555,323500
326000,329000,321500,408638,329000
333000,336500,331000,547025,333500
336500,344500,334500,778190,344000
340000,347000,339000,413612,344000
348000,352500,344000,550459,345000
350000,352000,347500,907935,350000
354000,356000,348500,596326,350500
345000,348000,341000,381201,341000
353000,357500,349500,842487,357000
351500,359000,351500,387127,354000
360000,375000,357000,963478,370000
365000,370000,364000,467592,364000
364000,365000,356000,411382,357000
350000,352500,349000,457725,351500
352500,360500,351000,345721,359500
352500,367500,352500,345345,364500
367000,370500,361000,455494,361000
358000,360500,353500,312166,355000
355000,362500,352000,260070,362000
369500,371000,365500,519844,371000
382000,391000,379000,1174700,382000
381500,385500,379000,251301,384000
387000,387500,383500,296037,386000
399500,400000,395500,1244668,398500
399000,399500,394500,377390,396500
394000,398000,392000,513570,392000
388000,394000,385000,449282,394000
395000,410500,394500,934227,409500
411000,411500,404000,704153,408000
415000,420500,409000,832374,418000
397500,408000,397500,919607,404000
402000,410500,402000,469734,407000
405000,412000,404500,425822,412000
415000,417000,402000,480516,403500
400500,409000,399000,515993,406500
404000,408000,399000,300934,408000
415000,419500,412500,404172,418000
420000,424000,418000,438156,423500
420000,423500,420000,324096,421500
420000,424500,413500,412397,416000
418000,427000,418000,502321,426000
420000,426000,420000,204741,421500
422500,429500,422500,312123,428000
420000,421000,411000,492776,413000
412000,412500,404500,313379,410000
410000,412000,404500,221908,406000
397000,408000,396500,340817,408000
410000,410000,397500,389821,400000
406000,413000,404000,276646,412500
418500,425000,413500,473646,425000
427500,429000,417500,398577,419000
432500,435000,430000,479599,430000
431000,439500,428000,493266,435000
434000,442000,434000,468325,441500
443000,449000,441500,504999,446000
444000,447500,441000,324557,443000
439000,447000,436500,433954,445500
447000,447500,442000,410949,443000
450000,450000,436500,566799,438000
441000,442000,429000,531871,435000
437000,440500,432500,330855,437000
440000,441000,429500,325765,430500
432000,435500,429000,429998,432500
432000,438500,431000,286400,436000
442000,446500,440000,355604,443000
443500,451500,441000,365304,451500
458000,470000,457000,898131,462000
455000,457000,437000,695269,437500
435000,445000,434000,458935,444500
450000,453500,446500,564553,449500
451000,451500,440500,461147,444000
449500,450000,426500,686823,430000
422500,424000,399500,858856,403000
400000,402500,389000,1176108,397500
404000,407500,399000,966806,405000
391000,401500,389000,893356,401000
396000,400500,388000,744042,388000
387500,390500,378000,756235,386500
391000,400000,391000,841868,392000
388000,401500,387000,792656,400000
411500,411500,405000,825220,408500
417500,425500,416500,888560,421000
427000,428500,421500,502353,426000
430000,430000,421000,651068,424000
424000,431000,422500,810190,428500
431000,448000,428000,828730,445000
439000,447500,436000,549225,445000
449500,456000,449000,687552,453000
456000,457500,447000,521256,451000
450000,459500,446000,741036,459500
459000,466000,449500,735896,452000
448500,460000,448500,563892,458000
462000,468500,457000,687879,462000
465000,471000,457500,589650,470000
459000,462000,445000,709273,447500
447500,449500,434500,604820,437000
437500,448000,435500,464830,448000
448500,464500,445000,641982,462000
471000,474000,466500,691498,467000
470000,472000,466000,417794,471000
475000,475500,463500,491659,470000
470000,475000,466500,360846,474500
480000,484500,474000,815874,479000
