#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
113.01,113.36,112.07,113.27
113.33,114.66,112.73,114.66
114.71,114.94,113.79,114.09
114.26,115.08,113.69,115.01
114.23,117.82,113.91,117.82
118.96,120.28,118.7,119.91
119.91,120.42,119.49,119.5
119.85,120.4,118.66,118.9
118.05,118.74,117.72,118.02
118.14,119.41,117.62,119.4
119.19,120.66,118.34,119.83
118.92,119.25,118.35,118.91
119.36,120.95,119.16,120.51
120.65,121,119.61,120.16
120.14,120.25,118.98,119.65
119.45,121.21,119.45,121.06
120.74,120.97,119.91,120
120.3,120.37,119.41,119.74
119.88,120.8,119.71,120.64
120.5,121.65,120.18,121.3
122.41,123.27,122.25,123.2
122.6,122.99,121.39,122.84
124.06,125.44,123.65,124.94
124.99,125.49,124.37,125.48
126.08,126.82,125.13,125.85
126.04,126.22,125.4,125.93
125.47,127.43,125.14,127.43
128.44,128.44,127.29,128.09
127.97,128.21,126.43,126.74
125.49,126.04,124.97,125.53
126.13,128.05,125.76,127.81
128.66,129.68,128.25,129.13
129.88,130.9,129.16,130.85
131.21,131.29,129.65,130.14
130.24,131.27,129.37,130.61
130.95,131.15,130.05,130.61
131.77,132.22,128.93,130.11
130.54,130.77,128.83,129.21
128.83,130.26,127.92,130.26
130.07,130.79,128.76,128.76
129.84,131.98,129.79,131.97
131.34,131.67,130.92,131.47
131.96,131.99,127.86,127.95
127.64,128.71,126.76,128.17
126.92,127.65,125.59,126.68
126.88,127.89,126.52,126.82
126.77,127.92,125.46,126.84
126.69,127.59,125.9,126.87
126.08,126.95,124.77,125.16
125.54,125.84,123.06,123.8
124.38,125.09,123.88,125.07
125.61,127.17,125.61,126.72
126.65,126.72,123.73,124.13
123.26,123.87,122.51,123.49
125.31,125.4,124.26,124.78
124.65,127.07,124.61,126.88
126.77,127.29,126.15,127.22
127.61,128.2,126.18,127.85
128.23,128.42,127.46,127.92
128.86,129.01,128.12,128.44
127.95,127.96,127.09,127.59
127.23,127.72,126.86,127.24
127.84,127.98,126.98,127.28
126.17,126.26,123.29,123.29
123.49,123.61,121.49,122.41
120.27,120.82,118.79,119.76
120.64,121.18,120.17,120.5
121.58,122.68,120.12,121.05
119.44,121.66,118.33,121.31
123.03,123.05,121.36,121.36
120.79,122.24,120.27,122.08
122.21,122.56,121.82,121.92
120.85,120.85,119.23,119.96
120.1,120.19,118.36,118.36
117.06,118,116.54,117.58
118.29,118.48,117.68,118.46
118.81,119.12,117.47,117.89
118.15,120.19,118.15,119.95
120.4,121.54,120.37,121.26
121.41,121.45,119.36,120.48
121.01,121.26,120.3,120.4
119.48,119.66,118.66,119.02
119,119.74,118.69,118.69
118.38,119.1,117.2,118.87
119.13,120.5,119.1,119.65
120.9,121.25,118.75,119.51
120.6,120.84,119.55,120.08
121.53,123.13,121.53,123.04
123.35,123.57,122.47,123.02
123.38,123.38,122.24,122.87
123.34,123.43,122.36,122.91
122.82,123.39,121.18,121.37
121.24,121.7,121.05,121.7
123.03,124.22,122.58,123.89
124.02,124.65,123.78,124.64
124.66,125.12,123.56,124.84
124.06,125.2,124,124.9
125.87,126.19,125.04,125.04
125.2,125.7,124.89,125.7
125.62,125.62,124.56,124.79
124.48,125.76,124.46,125.62
125.12,127.22,124.89,127.22
127.04,128.2,126.67,127.68
127.93,128.8,127.49,127.65
127.51,128.15,126.72,126.9
127,129.27,126.6,129.27
129.04,129.73,128.87,129.27
129.69,129.78,128.49,129.33
129.38,129.43,127.76,128.17
127.86,128.63,127.15,127.66
127.46,129.38,127.13,129.24
129.26,130.41,129.02,130.39
129.17,129.91,128.17,129.08
128.32,128.46,126.78,127.45
127.23,127.99,126.99,127.92
128.57,129.39,127.77,128.41
128.2,129.72,128.2,129.43
128.8,130.6,128.56,130.59
131.16,131.39,130.62,130.95
131.12,131.47,130.37,130.54
131.15,131.36,130.29,130.65
130.24,132.05,130.15,131.72
131.85,132.19,131.09,131.28
132.99,134.29,132.87,133.88
134.88,135.19,134.08,134.26
134.79,135.36,134.03,135.25
136.09,137.35,135.61,136.98
137.37,137.55,136.27,136.48
136.73,137.73,136.1,136.78
136.76,138.66,136.74,138.66
138.84,140.13,137.81,138.57
139.78,140.13,137.77,138.62
137.63,138.86,137.06,138.37
138.6,140.59,138.39,140.55
140.58,141.18,139.95,140.53
140.75,141.55,139.56,140.73
141.86,142.6,141.3,142.38
143.53,143.53,141.95,143.32
143.67,144.1,142.84,143.96
144.12,144.3,143.14,144.3
145.4,145.81,144.18,144.21
144.55,144.89,142.7,143.52
141.9,142.32,140.1,140.7
139.78,140.68,139.5,140.49
140.01,142.12,139.47,142.11
142.59,144.02,142.07,142.7
142.64,145.35,142.61,145.35
145.75,146.25,144.81,146.04
146.26,147.11,144.17,144.3
143.13,144.05,142.21,143.87
144.19,144.22,141.15,141.16
140.55,141.09,139.23,140.68
141.48,144.4,140.97,144.4
144.61,145.17,143.32,144.27
143.71,143.72,140.48,141.27
140.12,142.74,139.25,141.75
141.76,142.61,140.36,140.36
137.85,138.62,136.83,137.42
138.93,139.45,136.31,138.68
138.21,140.34,137.99,140.09
141.45,143.15,141.22,143.13
143.59,144.73,143.4,144.3
144.88,145.1,143.72,144.06
144.86,147.03,144.7,145.21
147.04,147.95,146.58,147.95
149.27,149.61,147.13,148.41
148.47,149.34,147.6,149.34
150.08,151.3,149.91,150.13
150.39,151.33,149.12,150.29
149.87,152.03,149.55,152.03
151.18,153.22,150.64,151.99
152.45,152.93,151.29,152.55
154.98,154.98,153.16,154.69
154.31,155.83,153.99,155.34
154.48,155.78,154.04,155.71
155.5,155.6,152.38,152.39
153.2,156.39,153.2,156.39
156.7,156.86,155.39,156.52
156.77,158.88,156.35,158.88
159.05,159.41,157.68,159.06
159.85,159.97,157.17,157.55
158.49,160.68,158.49,160.43
160.33,160.68,157.44,158.1
